image,event,date,second,milisecond,tweek,f_min<2kHz,confidence
142,5,20160830_194501,98,654,0,0,0.433
142,6,20160830_194501,98,753,1,1,0.499
142,7,20160830_194501,98,811,0,1,0.355
142,8,20160830_194501,98,811,1,1,0.499
142,9,20160830_194501,98,847,0,0,0.596
142,10,20160830_194501,98,862,0,1,0.648
142,11,20160830_194501,98,920,0,0,0.358
143,1,20160830_195001,33,210,1,1,0.626
143,2,20160830_195001,33,414,1,1,0.534
143,3,20160830_195001,33,438,0,1,0.432
143,4,20160830_195001,33,460,0,1,0.47
143,5,20160830_195001,33,486,0,1,0.589
143,6,20160830_195001,33,540,0,1,0.54
143,7,20160830_195001,33,597,0,1,0.592
143,8,20160830_195001,33,640,0,1,0.421
143,9,20160830_195001,33,749,0,0,0.34
143,10,20160830_195001,33,791,1,1,0.569
144,1,20170702_161620,119,405,0,0,0.631
145,1,20170702_161620,48,720,0,0,0.504
146,1,20170702_161620,98,132,0,0,0.722
146,2,20170702_161620,98,148,0,0,0.614
147,1,20170702_164121,52,71,0,0,0.485
147,2,20170702_164121,52,408,0,0,0.721
147,3,20170702_164121,52,438,0,0,0.627
147,4,20170702_164121,52,461,0,0,0.338
147,5,20170702_164121,52,475,0,0,0.617
147,6,20170702_164121,52,575,0,0,0.699
147,7,20170702_164121,52,639,0,0,0.687
147,8,20170702_164121,52,673,0,0,0.378
147,9,20170702_164121,52,744,0,0,0.676
148,1,20170702_164621,16,337,0,0,0.694
148,2,20170702_164621,16,359,0,0,0.589
148,3,20170702_164621,16,425,0,0,0.724
148,4,20170702_164621,16,470,0,0,0.669
148,5,20170702_164621,16,598,0,0,0.392
148,6,20170702_164621,16,718,0,0,0.542
149,1,20170702_164621,99,68,0,0,0.466
149,2,20170702_164621,99,87,0,0,0.495
149,3,20170702_164621,99,124,0,1,0.647
149,4,20170702_164621,99,239,0,0,0.357
149,5,20170702_164621,99,291,0,1,0.646
150,1,20170707_230135,29,512,1,1,0.737
150,2,20170707_230135,29,557,1,1,0.639
150,3,20170707_230135,29,624,1,0,0.578
151,1,20170707_230135,9,198,0,0,0.328
151,2,20170707_230135,9,437,0,0,0.645
151,3,20170707_230135,9,633,0,0,0.556
151,4,20170707_230135,9,733,0,1,0.49
151,5,20170707_230135,9,733,1,1,0.409
151,6,20170707_230135,9,773,0,0,0.562
152,1,20170707_230635,53,678,1,1,0.708
152,2,20170707_230635,53,697,1,1,0.655
152,3,20170707_230635,53,795,1,1,0.776
153,1,20170707_230635,83,570,0,1,0.461
153,2,20170707_230635,83,570,1,1,0.434
153,3,20170707_230635,83,830,0,0,0.653
154,1,20170707_231135,31,626,0,1,0.518
154,2,20170707_231135,31,650,0,1,0.343
154,3,20170707_231135,31,847,1,1,0.68
154,4,20170707_231135,31,878,1,1,0.476
154,5,20170707_231135,31,934,1,1,0.735
154,6,20170707_231135,31,982,1,1,0.653
155,1,20170707_231135,65,132,0,0,0.716
155,2,20170707_231135,65,952,1,1,0.715
156,1,20170707_231635,129,61,0,0,0.301
156,2,20170707_231635,129,853,1,1,0.725
156,3,20170707_231635,129,895,1,1,0.534
157,1,20170707_232136,124,474,0,0,0.373
157,2,20170707_232136,124,474,1,0,0.359
157,3,20170707_232136,124,709,0,0,0.526
157,4,20170707_232136,124,853,1,1,0.776
157,5,20170707_232136,124,908,1,1,0.663
157,6,20170707_232136,124,961,1,1,0.639
157,7,20170707_232136,124,996,0,0,0.529
158,1,20170707_233136,45,89,0,0,0.463
158,2,20170707_233136,45,195,0,0,0.439
158,3,20170707_233136,45,602,1,1,0.686
158,4,20170707_233136,45,648,1,1,0.514
158,5,20170707_233136,45,674,1,1,0.395
158,6,20170707_233136,45,719,0,1,0.414
158,7,20170707_233136,45,733,0,0,0.449
158,8,20170707_233136,45,813,1,1,0.692
158,9,20170707_233136,45,904,0,1,0.321
158,10,20170707_233136,45,904,1,1,0.546
159,1,20170707_233636,142,165,0,1,0.502
159,2,20170707_233636,142,253,1,1,0.604
159,3,20170707_233636,142,334,0,1,0.318
159,4,20170707_233636,142,334,1,1,0.545
159,5,20170707_233636,142,373,0,0,0.484
160,1,20170707_234137,6,42,0,0,0.566
160,2,20170707_234137,6,58,0,0,0.549
160,3,20170707_234137,6,391,0,0,0.715
160,4,20170707_234137,6,521,0,0,0.305
160,5,20170707_234137,6,757,1,1,0.528
160,6,20170707_234137,6,807,0,1,0.443
160,7,20170707_234137,6,807,1,1,0.453
160,8,20170707_234137,6,882,0,0,0.398
160,9,20170707_234137,6,916,1,1,0.691
161,1,20170707_234637,41,136,0,0,0.332
161,2,20170707_234637,41,164,0,1,0.475
161,3,20170707_234637,41,178,0,1,0.422
161,4,20170707_234637,41,193,1,1,0.707
161,5,20170707_234637,41,246,0,1,0.346
161,6,20170707_234637,41,246,1,1,0.43
161,7,20170707_234637,41,324,0,0,0.49
161,8,20170707_234637,41,353,1,1,0.662
161,9,20170707_234637,41,417,0,0,0.417
161,10,20170707_234637,41,564,0,0,0.657
161,11,20170707_234637,41,887,0,0,0.322
162,1,20170707_235637,85,44,0,0,0.714
162,2,20170707_235637,85,134,0,0,0.534
162,3,20170707_235637,85,196,0,1,0.649
162,4,20170707_235637,85,492,1,1,0.573
162,5,20170707_235637,85,611,0,0,0.503
163,1,20170714_153824,124,342,0,1,0.543
163,2,20170714_153824,124,436,0,0,0.676
163,3,20170714_153824,124,479,0,0,0.312
163,4,20170714_153824,124,588,0,0,0.672
163,5,20170714_153824,124,778,0,0,0.538
164,1,20170714_153824,134,595,0,0,0.717
164,2,20170714_153824,134,678,0,0,0.699
164,3,20170714_153824,134,711,0,0,0.346
165,1,20170714_155325,107,160,0,0,0.513
165,2,20170714_155325,107,336,0,0,0.332
165,3,20170714_155325,107,644,0,0,0.365
165,4,20170714_155325,107,664,0,0,0.699
165,5,20170714_155325,107,731,0,0,0.551
165,6,20170714_155325,107,771,0,0,0.639
165,7,20170714_155325,107,859,0,0,0.372
165,8,20170714_155325,107,905,0,0,0.501
165,9,20170714_155325,107,966,0,0,0.603
166,1,20170714_155325,90,149,0,0,0.414
166,2,20170714_155325,90,204,0,0,0.595
166,3,20170714_155325,90,607,0,0,0.654
167,1,20170714_155825,62,299,0,0,0.458
167,2,20170714_155825,62,308,0,0,0.439
167,3,20170714_155825,62,403,0,0,0.479
167,4,20170714_155825,62,435,0,0,0.64
167,5,20170714_155825,62,538,0,1,0.682
167,6,20170714_155825,62,701,0,0,0.591
167,7,20170714_155825,62,937,0,0,0.532
168,1,20170715_121417,62,108,0,0,0.631
168,2,20170715_121417,62,489,0,0,0.597
168,3,20170715_121417,62,496,0,0,0.496
168,4,20170715_121417,62,563,0,0,0.316
168,5,20170715_121417,62,897,0,0,0.702
168,6,20170715_121417,62,952,0,0,0.37
169,1,20170715_121917,35,153,0,0,0.482
169,2,20170715_121917,35,671,0,0,0.675
169,3,20170715_121917,35,678,0,0,0.321
169,4,20170715_121917,35,697,0,0,0.316
170,1,20170715_121917,45,248,0,0,0.686
171,1,20170715_123918,140,538,0,0,0.63
171,2,20170715_123918,140,559,0,1,0.709
171,3,20170715_123918,140,626,0,1,0.71
171,4,20170715_123918,140,684,0,1,0.691
171,5,20170715_123918,140,722,0,1,0.713
171,6,20170715_123918,140,745,0,0,0.451
171,7,20170715_123918,140,841,0,1,0.673
171,8,20170715_123918,140,890,0,1,0.566
172,1,20170715_123918,48,889,0,0,0.506
172,2,20170715_123918,48,898,0,1,0.65
172,3,20170715_123918,48,920,0,1,0.684
173,1,20170715_125419,68,455,0,1,0.706
173,2,20170715_125419,68,484,0,1,0.679
173,3,20170715_125419,68,637,0,1,0.458
173,4,20170715_125419,68,645,0,1,0.62
173,5,20170715_125419,68,757,0,1,0.678
173,6,20170715_125419,68,789,0,1,0.708
173,7,20170715_125419,68,820,0,1,0.323
173,8,20170715_125419,68,840,0,0,0.416
174,1,20170715_125419,86,467,0,0,0.698
174,2,20170715_125419,86,484,0,0,0.366
174,3,20170715_125419,86,555,0,1,0.448
174,4,20170715_125419,86,925,0,1,0.465
175,1,20170715_125419,94,84,0,1,0.54
175,2,20170715_125419,94,84,1,1,0.31
175,3,20170715_125419,94,125,0,1,0.537
175,4,20170715_125419,94,246,0,1,0.7
175,5,20170715_125419,94,279,0,0,0.391
176,1,20170715_125919,124,39,0,1,0.679
176,2,20170715_125919,124,72,0,1,0.638
176,3,20170715_125919,124,645,0,0,0.582
176,4,20170715_125919,124,659,0,1,0.651
176,5,20170715_125919,124,662,0,1,0.419
176,6,20170715_125919,124,682,0,1,0.323
176,7,20170715_125919,124,692,0,1,0.7
177,1,20170715_125919,76,597,0,0,0.641
177,2,20170715_125919,76,660,0,1,0.69
177,3,20170715_125919,76,964,0,1,0.671
178,1,20170715_130419,144,405,0,0,0.308
178,2,20170715_130419,144,701,0,1,0.691
178,3,20170715_130419,144,742,0,1,0.635
178,4,20170715_130419,144,766,0,1,0.64
178,5,20170715_130419,144,859,0,1,0.346
178,6,20170715_130419,144,899,0,1,0.435
178,7,20170715_130419,144,956,0,1,0.585
178,8,20170715_130419,144,987,0,1,0.517
179,1,20170715_130920,111,23,0,1,0.657
179,2,20170715_130920,111,44,0,1,0.692
179,3,20170715_130920,111,110,0,1,0.663
179,4,20170715_130920,111,151,0,1,0.643
179,5,20170715_130920,111,194,0,1,0.652
179,6,20170715_130920,111,761,0,0,0.624
179,7,20170715_130920,111,835,0,0,0.468
179,8,20170715_130920,111,908,0,0,0.682
180,1,20170715_130920,44,194,0,0,0.542
180,2,20170715_130920,44,428,0,1,0.714
180,3,20170715_130920,44,441,0,1,0.648
180,4,20170715_130920,44,477,0,1,0.687
180,5,20170715_130920,44,491,0,1,0.718
180,6,20170715_130920,44,548,0,1,0.659
180,7,20170715_130920,44,578,0,1,0.668
180,8,20170715_130920,44,661,0,1,0.609
180,9,20170715_130920,44,740,0,1,0.701
180,10,20170715_130920,44,777,0,1,0.446
180,11,20170715_130920,44,977,0,1,0.697
181,1,20170715_130920,7,255,0,1,0.693
181,2,20170715_130920,7,279,0,1,0.675
181,3,20170715_130920,7,338,0,1,0.681
181,4,20170715_130920,7,400,0,1,0.675
181,5,20170715_130920,7,533,0,1,0.707
181,6,20170715_130920,7,557,0,0,0.687
181,7,20170715_130920,7,616,0,1,0.65
181,8,20170715_130920,7,709,0,1,0.706
181,9,20170715_130920,7,792,0,1,0.706
181,10,20170715_130920,7,911,0,1,0.673
182,1,20170721_215037,10,77,0,0,0.394
182,2,20170721_215037,10,175,0,0,0.542
182,3,20170721_215037,10,493,0,1,0.679
182,4,20170721_215037,10,733,0,1,0.422
182,5,20170721_215037,10,733,1,1,0.519
182,6,20170721_215037,10,756,0,1,0.549
182,7,20170721_215037,10,778,0,1,0.597
182,8,20170721_215037,10,803,0,1,0.614
182,9,20170721_215037,10,827,0,1,0.489
182,10,20170721_215037,10,844,1,1,0.584
182,11,20170721_215037,10,874,0,1,0.616
182,12,20170721_215037,10,932,0,0,0.301
182,13,20170721_215037,10,948,0,1,0.532
182,14,20170721_215037,10,948,1,1,0.443
183,1,20170721_221038,133,234,0,0,0.551
183,2,20170721_221038,133,303,1,1,0.311
183,3,20170721_221038,133,303,0,1,0.548
183,4,20170721_221038,133,338,0,0,0.307
183,5,20170721_221038,133,405,0,0,0.574
183,6,20170721_221038,133,417,0,1,0.597
183,7,20170721_221038,133,481,0,1,0.667
183,8,20170721_221038,133,520,0,1,0.631
183,9,20170721_221038,133,543,0,1,0.587
183,10,20170721_221038,133,552,0,1,0.446
183,11,20170721_221038,133,568,0,1,0.575
183,12,20170721_221038,133,628,1,1,0.628
183,13,20170721_221038,133,645,0,0,0.545
183,14,20170721_221038,133,652,0,0,0.33
183,15,20170721_221038,133,660,0,0,0.505
183,16,20170721_221038,133,680,0,1,0.342
183,17,20170721_221038,133,699,0,1,0.696
183,18,20170721_221038,133,726,0,1,0.354
183,19,20170721_221038,133,860,0,0,0.638
183,20,20170721_221038,133,894,0,1,0.451
183,21,20170721_221038,133,954,0,1,0.64
183,22,20170721_221038,133,994,0,1,0.608
184,1,20170721_222039,139,83,0,0,0.675
184,2,20170721_222039,139,156,1,1,0.633
184,3,20170721_222039,139,198,1,1,0.622
184,4,20170721_222039,139,239,0,1,0.688
184,5,20170721_222039,139,308,0,1,0.416
184,6,20170721_222039,139,308,1,1,0.447
184,7,20170721_222039,139,380,0,0,0.625
184,8,20170721_222039,139,417,0,0,0.367
184,9,20170721_222039,139,514,0,0,0.638
184,10,20170721_222039,139,827,1,1,0.495
184,11,20170721_222039,139,827,0,1,0.355
184,12,20170721_222039,139,886,0,0,0.609
184,13,20170721_222039,139,898,1,1,0.616
184,14,20170721_222039,139,951,0,0,0.38
185,1,20170721_222039,46,704,0,1,0.576
185,2,20170721_222039,46,704,1,1,0.305
185,3,20170721_222039,46,737,0,1,0.682
185,4,20170721_222039,46,779,0,1,0.46
185,5,20170721_222039,46,779,1,1,0.39
185,6,20170721_222039,46,831,0,1,0.642
185,7,20170721_222039,46,874,0,0,0.571
185,8,20170721_222039,46,903,0,1,0.654
185,9,20170721_222039,46,970,0,1,0.61
186,1,20170721_222039,92,42,0,0,0.379
186,2,20170721_222039,92,42,0,1,0.635
186,3,20170721_222039,92,101,0,1,0.342
186,4,20170721_222039,92,101,1,1,0.645
186,5,20170721_222039,92,127,1,1,0.35
186,6,20170721_222039,92,127,0,1,0.469
186,7,20170721_222039,92,239,0,0,0.488
186,8,20170721_222039,92,245,0,0,0.6
186,9,20170721_222039,92,321,0,0,0.562
186,10,20170721_222039,92,338,0,0,0.608
186,11,20170721_222039,92,361,0,0,0.643
187,1,20170721_222039,99,185,1,1,0.656
187,2,20170721_222039,99,270,0,1,0.612
187,3,20170721_222039,99,289,0,1,0.513
187,4,20170721_222039,99,303,0,1,0.353
187,5,20170721_222039,99,313,0,0,0.677
187,6,20170721_222039,99,365,0,1,0.594
187,7,20170721_222039,99,373,0,1,0.341
187,8,20170721_222039,99,417,0,0,0.542
187,9,20170721_222039,99,450,0,0,0.454
187,10,20170721_222039,99,605,0,0,0.696
188,1,20170721_222539,107,275,0,1,0.677
188,2,20170721_222539,107,345,0,1,0.651
188,3,20170721_222539,107,398,0,1,0.712
188,4,20170721_222539,107,452,0,1,0.553
188,5,20170721_222539,107,522,0,1,0.639
188,6,20170721_222539,107,568,0,1,0.569
188,7,20170721_222539,107,639,0,1,0.593
188,8,20170721_222539,107,735,0,1,0.535
188,9,20170721_222539,107,766,0,1,0.397
188,10,20170721_222539,107,816,0,0,0.44
188,11,20170721_222539,107,849,0,1,0.593
188,12,20170721_222539,107,897,0,0,0.497
188,13,20170721_222539,107,965,0,1,0.703
189,1,20170721_222539,15,251,0,1,0.595
189,2,20170721_222539,15,258,0,1,0.481
189,3,20170721_222539,15,286,0,1,0.577
189,4,20170721_222539,15,302,0,1,0.643
189,5,20170721_222539,15,316,0,1,0.556
189,6,20170721_222539,15,323,0,0,0.495
189,7,20170721_222539,15,348,0,1,0.576
189,8,20170721_222539,15,429,0,1,0.514
189,9,20170721_222539,15,429,1,1,0.346
189,10,20170721_222539,15,533,0,1,0.625
189,11,20170721_222539,15,836,0,1,0.573
190,1,20170721_223539,139,18,0,0,0.647
190,2,20170721_223539,139,39,0,0,0.326
190,3,20170721_223539,139,118,0,0,0.538
190,4,20170721_223539,139,127,0,1,0.633
190,5,20170721_223539,139,221,0,0,0.57
190,6,20170721_223539,139,237,0,1,0.43
190,7,20170721_223539,139,237,1,1,0.49
190,8,20170721_223539,139,284,0,0,0.65
190,9,20170721_223539,139,309,0,1,0.573
190,10,20170721_223539,139,332,0,1,0.598
190,11,20170721_223539,139,486,0,1,0.526
190,12,20170721_223539,139,554,0,0,0.387
190,13,20170721_223539,139,574,0,1,0.512
190,14,20170721_223539,139,795,0,0,0.453
190,15,20170721_223539,139,871,0,0,0.522
191,1,20170721_223539,67,286,1,1,0.654
191,2,20170721_223539,67,315,0,1,0.341
191,3,20170721_223539,67,316,1,1,0.498
191,4,20170721_223539,67,374,1,1,0.517
191,5,20170721_223539,67,426,0,1,0.485
191,6,20170721_223539,67,663,0,1,0.663
191,7,20170721_223539,67,879,0,0,0.381
191,8,20170721_223539,67,923,0,0,0.632
191,9,20170721_223539,67,937,0,0,0.401
191,10,20170721_223539,67,947,0,1,0.335
191,11,20170721_223539,67,959,0,1,0.428
192,1,20170721_224540,112,134,0,0,0.666
192,2,20170721_224540,112,157,0,0,0.557
192,3,20170721_224540,112,177,0,0,0.359
192,4,20170721_224540,112,616,0,1,0.457
192,5,20170721_224540,112,616,1,1,0.479
192,6,20170721_224540,112,645,0,0,0.444
192,7,20170721_224540,112,752,1,1,0.565
192,8,20170721_224540,112,797,0,0,0.524
192,9,20170721_224540,112,810,0,1,0.573
192,10,20170721_224540,112,821,0,1,0.315
192,11,20170721_224540,112,897,1,1,0.42
192,12,20170721_224540,112,901,0,1,0.464
193,1,20170730_170406,26,386,0,1,0.605
193,2,20170730_170406,26,395,0,1,0.56
193,3,20170730_170406,26,552,0,1,0.715
193,4,20170730_170406,26,587,0,1,0.75
193,5,20170730_170406,26,605,0,1,0.672
193,6,20170730_170406,26,620,0,0,0.428
193,7,20170730_170406,26,738,0,0,0.335
193,8,20170730_170406,26,782,0,1,0.69
193,9,20170730_170406,26,857,0,0,0.313
193,10,20170730_170406,26,904,0,1,0.672
194,1,20170730_170406,65,228,0,0,0.348
194,2,20170730_170406,65,824,0,0,0.376
194,3,20170730_170406,65,856,0,1,0.692
194,4,20170730_170406,65,892,0,1,0.607
194,5,20170730_170406,65,906,0,0,0.595
194,6,20170730_170406,65,977,0,1,0.322
194,7,20170730_170406,65,986,0,1,0.55
195,1,20170730_171406,8,10,0,1,0.668
195,2,20170730_171406,8,34,0,0,0.669
195,3,20170730_171406,8,115,0,1,0.706
195,4,20170730_171406,8,177,0,0,0.528
195,5,20170730_171406,8,248,0,1,0.716
195,6,20170730_171406,8,269,0,1,0.556
195,7,20170730_171406,8,279,0,0,0.406
195,8,20170730_171406,8,286,0,0,0.529
195,9,20170730_171406,8,317,0,0,0.531
195,10,20170730_171406,8,405,0,0,0.658
195,11,20170730_171406,8,414,0,0,0.388
195,12,20170730_171406,8,426,0,0,0.571
195,13,20170730_171406,8,574,0,1,0.593
195,14,20170730_171406,8,859,0,0,0.686
195,15,20170730_171406,8,893,0,0,0.599
196,1,20170730_172407,36,69,0,0,0.348
196,2,20170730_172407,36,225,0,1,0.685
196,3,20170730_172407,36,280,0,1,0.687
196,4,20170730_172407,36,331,0,1,0.692
196,5,20170730_172407,36,377,0,1,0.707
196,6,20170730_172407,36,441,0,1,0.678
196,7,20170730_172407,36,519,0,1,0.721
196,8,20170730_172407,36,673,0,1,0.412
196,9,20170730_172407,36,692,0,1,0.709
196,10,20170730_172407,36,875,0,1,0.719
196,11,20170730_172407,36,902,0,1,0.621
196,12,20170730_172407,36,966,0,1,0.72
196,13,20170730_172407,36,985,0,1,0.387
197,1,20170730_172407,77,186,0,0,0.362
197,2,20170730_172407,77,255,0,1,0.705
197,3,20170730_172407,77,314,0,1,0.722
197,4,20170730_172407,77,357,0,0,0.39
197,5,20170730_172407,77,414,0,1,0.712
197,6,20170730_172407,77,447,0,1,0.705
197,7,20170730_172407,77,519,0,1,0.708
197,8,20170730_172407,77,565,0,1,0.688
197,9,20170730_172407,77,611,0,1,0.707
197,10,20170730_172407,77,702,0,1,0.639
197,11,20170730_172407,77,770,0,1,0.62
198,1,20170730_172907,88,45,0,1,0.667
198,2,20170730_172907,88,58,0,1,0.735
198,3,20170730_172907,88,109,0,0,0.473
198,4,20170730_172907,88,121,0,1,0.605
198,5,20170730_172907,88,144,0,0,0.341
198,6,20170730_172907,88,173,0,0,0.483
198,7,20170730_172907,88,215,0,0,0.549
198,8,20170730_172907,88,234,0,1,0.618
198,9,20170730_172907,88,259,0,1,0.635
198,10,20170730_172907,88,315,0,0,0.428
198,11,20170730_172907,88,336,0,0,0.684
198,12,20170730_172907,88,373,0,0,0.614
198,13,20170730_172907,88,391,0,0,0.566
198,14,20170730_172907,88,404,0,0,0.344
198,15,20170730_172907,88,502,0,0,0.677
198,16,20170730_172907,88,526,0,1,0.367
198,17,20170730_172907,88,702,0,1,0.611
198,18,20170730_172907,88,714,0,0,0.349
198,19,20170730_172907,88,786,0,1,0.318
198,20,20170730_172907,88,787,0,1,0.599
198,21,20170730_172907,88,811,0,1,0.628
199,1,20180602_211730,120,97,0,1,0.498
199,2,20180602_211730,120,210,1,1,0.605
199,3,20180602_211730,120,246,0,1,0.354
199,4,20180602_211730,120,246,1,1,0.458
200,1,20180602_212730,102,125,1,1,0.57
200,2,20180602_212730,102,286,1,1,0.576
200,3,20180602_212730,102,392,0,1,0.482
200,4,20180602_212730,102,634,1,1,0.558
200,5,20180602_212730,102,852,1,1,0.541
200,6,20180602_212730,102,882,0,0,0.518
200,7,20180602_212730,102,968,0,0,0.452
201,1,20180602_212730,103,113,1,1,0.536
201,2,20180602_212730,103,220,0,0,0.521
201,3,20180602_212730,103,346,1,1,0.649
202,1,20180607_190213,69,480,0,1,0.667
202,2,20180607_190213,69,527,0,1,0.523
202,3,20180607_190213,69,574,0,1,0.491
202,4,20180607_190213,69,692,0,1,0.546
202,5,20180607_190213,69,702,0,1,0.561
202,6,20180607_190213,69,928,0,1,0.638
203,1,20180607_192214,128,40,0,0,0.315
203,2,20180607_192214,128,72,0,0,0.58
203,3,20180607_192214,128,106,0,0,0.642
203,4,20180607_192214,128,164,0,1,0.624
203,5,20180607_192214,128,196,0,1,0.708
203,6,20180607_192214,128,321,0,0,0.557
203,7,20180607_192214,128,331,0,0,0.419
203,8,20180607_192214,128,341,0,0,0.568
203,9,20180607_192214,128,618,0,0,0.492
203,10,20180607_192214,128,644,0,0,0.43
203,11,20180607_192214,128,659,0,0,0.581
204,1,20180607_192214,140,37,0,0,0.584
204,2,20180607_192214,140,105,0,0,0.569
204,3,20180607_192214,140,434,0,0,0.72
204,4,20180607_192214,140,448,0,0,0.309
204,5,20180607_192214,140,448,0,0,0.705
204,6,20180607_192214,140,552,0,1,0.651
204,7,20180607_192214,140,582,0,0,0.459
204,8,20180607_192214,140,668,0,0,0.449
204,9,20180607_192214,140,785,0,0,0.356
205,1,20180607_192214,26,4,0,0,0.574
205,2,20180607_192214,26,36,1,1,0.591
205,3,20180607_192214,26,219,0,0,0.511
205,4,20180607_192214,26,323,0,0,0.702
205,5,20180607_192214,26,336,0,0,0.654
205,6,20180607_192214,26,355,0,0,0.565
205,7,20180607_192214,26,609,0,0,0.357
205,8,20180607_192214,26,761,0,1,0.632
205,9,20180607_192214,26,775,0,0,0.597
206,1,20180607_192214,60,42,0,0,0.35
206,2,20180607_192214,60,53,0,0,0.346
206,3,20180607_192214,60,104,0,1,0.453
206,4,20180607_192214,60,238,0,1,0.564
206,5,20180607_192214,60,545,0,0,0.615
206,6,20180607_192214,60,555,1,1,0.591
206,7,20180607_192214,60,555,0,1,0.381
206,8,20180607_192214,60,593,0,1,0.403
206,9,20180607_192214,60,593,1,1,0.36
206,10,20180607_192214,60,626,0,1,0.678
206,11,20180607_192214,60,664,0,0,0.532
206,12,20180607_192214,60,673,0,0,0.551
206,13,20180607_192214,60,717,0,1,0.521
207,1,20180607_192714,16,244,0,0,0.726
207,2,20180607_192714,16,264,0,0,0.707
207,3,20180607_192714,16,372,1,1,0.335
207,4,20180607_192714,16,371,0,1,0.611
207,5,20180607_192714,16,707,0,1,0.71
207,6,20180607_192714,16,733,0,0,0.689
207,7,20180607_192714,16,787,0,0,0.481
207,8,20180607_192714,16,792,0,0,0.566
207,9,20180607_192714,16,870,0,0,0.697
207,10,20180607_192714,16,963,0,0,0.591
207,11,20180607_192714,16,977,0,1,0.314
208,1,20180607_192714,70,431,0,1,0.62
208,2,20180607_192714,70,445,0,1,0.458
208,3,20180607_192714,70,445,1,1,0.391
208,4,20180607_192714,70,467,0,1,0.572
208,5,20180607_192714,70,554,0,1,0.479
208,6,20180607_192714,70,612,0,1,0.559
208,7,20180607_192714,70,636,0,1,0.477
208,8,20180607_192714,70,676,0,0,0.577
208,9,20180607_192714,70,723,0,0,0.638
208,10,20180607_192714,70,761,0,0,0.302
208,11,20180607_192714,70,821,0,1,0.432
208,12,20180607_192714,70,837,0,1,0.55
208,13,20180607_192714,70,859,0,1,0.515
208,14,20180607_192714,70,881,0,0,0.665
209,1,20180607_193215,131,58,0,0,0.704
209,2,20180607_193215,131,678,1,1,0.471
209,3,20180607_193215,131,678,0,1,0.378
209,4,20180607_193215,131,705,0,1,0.324
209,5,20180607_193215,131,705,1,1,0.354
209,6,20180607_193215,131,723,0,1,0.492
209,7,20180607_193215,131,723,1,1,0.406
209,8,20180607_193215,131,757,0,1,0.599
210,1,20180607_193215,77,10,0,1,0.627
210,2,20180607_193215,77,23,0,1,0.604
210,3,20180607_193215,77,63,0,0,0.71
210,4,20180607_193215,77,221,0,0,0.438
210,5,20180607_193215,77,404,0,0,0.699
210,6,20180607_193215,77,894,0,1,0.689
210,7,20180607_193215,77,911,1,1,0.386
210,8,20180607_193215,77,911,0,1,0.552
210,9,20180607_193215,77,950,0,1,0.657
211,1,20180607_193215,81,13,0,0,0.654
211,2,20180607_193215,81,24,0,1,0.521
211,3,20180607_193215,81,24,1,1,0.308
211,4,20180607_193215,81,72,0,0,0.671
211,5,20180607_193215,81,137,0,0,0.556
211,6,20180607_193215,81,271,0,0,0.433
211,7,20180607_193215,81,353,0,1,0.589
211,8,20180607_193215,81,390,0,1,0.407
211,9,20180607_193215,81,390,1,1,0.445
211,10,20180607_193215,81,486,0,0,0.356
211,11,20180607_193215,81,506,0,1,0.552
211,12,20180607_193215,81,645,0,0,0.434
211,13,20180607_193215,81,822,0,1,0.539
211,14,20180607_193215,81,987,1,1,0.354
211,15,20180607_193215,81,987,0,1,0.476
212,1,20180607_193715,111,20,0,0,0.648
212,2,20180607_193715,111,37,0,1,0.324
212,3,20180607_193715,111,72,1,1,0.37
212,4,20180607_193715,111,72,0,1,0.459
212,5,20180607_193715,111,146,0,1,0.426
212,6,20180607_193715,111,381,0,1,0.327
212,7,20180607_193715,111,423,0,1,0.477
212,8,20180607_193715,111,837,0,0,0.428
213,1,20180607_194215,125,111,0,1,0.691
213,2,20180607_194215,125,132,0,1,0.656
213,3,20180607_194215,125,152,0,1,0.593
213,4,20180607_194215,125,180,0,1,0.623
213,5,20180607_194215,125,188,0,1,0.49
213,6,20180607_194215,125,225,0,0,0.66
213,7,20180607_194215,125,275,0,1,0.638
213,8,20180607_194215,125,315,0,1,0.657
213,9,20180607_194215,125,357,0,0,0.597
213,10,20180607_194215,125,378,0,1,0.654
214,1,20180607_194215,134,11,0,1,0.689
214,2,20180607_194215,134,54,0,1,0.594
214,3,20180607_194215,134,289,0,1,0.45
214,4,20180607_194215,134,324,0,1,0.338
214,5,20180607_194215,134,357,0,1,0.443
214,6,20180607_194215,134,376,0,1,0.646
214,7,20180607_194215,134,733,0,0,0.694
214,8,20180607_194215,134,736,0,0,0.328
214,9,20180607_194215,134,778,0,0,0.633
214,10,20180607_194215,134,866,0,0,0.598
215,1,20180607_194215,43,576,1,1,0.557
215,2,20180607_194215,43,598,0,1,0.575
215,3,20180607_194215,43,606,0,1,0.313
215,4,20180607_194215,43,606,1,1,0.56
215,5,20180607_194215,43,654,0,1,0.599
215,6,20180607_194215,43,774,0,0,0.7
215,7,20180607_194215,43,816,0,0,0.619
216,1,20180607_194215,59,386,1,1,0.464
216,2,20180607_194215,59,477,0,0,0.496
216,3,20180607_194215,59,554,0,0,0.398
216,4,20180607_194215,59,582,1,1,0.722
216,5,20180607_194215,59,624,0,1,0.502
216,6,20180607_194215,59,642,0,0,0.4
216,7,20180607_194215,59,662,0,1,0.61
